name,referencePath,policyType,category,displayName,description,groupNames,policySets,allowedEffects,PRODParameters,NONPRODEffect,PRODParameters,NONPRODParameters
a4af4a39-4135-47fb-b175-47fbdf85311d,,BuiltIn,App Service,App Service apps should only be accessible over HTTPS,Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.,"PCI_DSS_v4.0_3.5.1,PCI_DSS_v4.0_6.2.4",PCI-DSS: Audit (Policy Default),"Disabled,Audit,Deny",Audit,Audit,,
6d555dd1-86f2-4f1c-8ed7-5abae7c6cbab,,BuiltIn,App Service,Function apps should only be accessible over HTTPS,Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.,"PCI_DSS_v4.0_3.5.1,PCI_DSS_v4.0_6.2.4",PCI-DSS: Audit (Policy Default),"Disabled,Audit,Deny",Audit,Audit,,
3657f5a0-770e-44a3-b44e-9431ba1e9735,,BuiltIn,Automation,Automation account variables should be encrypted,It is important to enable encryption of Automation account variable assets when storing sensitive data,"PCI_DSS_v4.0_3.5.1,PCI_DSS_v4.0_6.2.4",PCI-DSS: Audit (Policy Default),"Disabled,Deny,Audit",Audit,Audit,,
22bee202-a82f-4305-9a2a-6d7f44d4dedb,,BuiltIn,Cache,Only secure connections to your Azure Cache for Redis should be enabled,"Audit enabling of only connections via SSL to Azure Cache for Redis. Use of secure connections ensures authentication between the server and the service and protects data in transit from network layer attacks such as man-in-the-middle, eavesdropping, and session-hijacking","PCI_DSS_v4.0_3.5.1,PCI_DSS_v4.0_6.2.4",PCI-DSS: Audit (Policy Default),"Disabled,Deny,Audit",Audit,Audit,,
1d84d5fb-01f6-4d12-ba4f-4a26081d403d,,BuiltIn,Compute,Virtual machines should be migrated to new Azure Resource Manager resources,"Use new Azure Resource Manager for your virtual machines to provide security enhancements such as: stronger access control (RBAC), better auditing, Azure Resource Manager based deployment and governance, access to managed identities, access to key vault for secrets, Azure AD-based authentication and support for tags and resource groups for easier security management","PCI_DSS_v4.0_10.2.2,PCI_DSS_v4.0_10.3.3",PCI-DSS: Audit (Policy Default),"Disabled,Deny,Audit",Audit,Audit,,
a451c1ef-c6ca-483d-87ed-f49761e3ffb5,,BuiltIn,General,Audit usage of custom RBAC roles,"Audit built-in roles such as 'Owner, Contributer, Reader' instead of custom RBAC roles, which are error prone. Using custom roles is treated as an exception and requires a rigorous review and threat modeling","PCI_DSS_v4.0_3.3.3,PCI_DSS_v4.0_7.3.1,PCI_DSS_v4.0_8.4.1",PCI-DSS: Audit (Policy Default),"Audit,Disabled",Audit,Audit,,
3cf2ab00-13f1-4d0c-8971-2ac904541a7e,,BuiltIn,Guest Configuration,Add system-assigned managed identity to enable Guest Configuration assignments on virtual machines with no identities,"This policy adds a system-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration but do not have any managed identities. A system-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.",PCI_DSS_v4.0_8.3.6,PCI-DSS: modify (Policy Fixed),"modify,audit",audit,audit,,
497dff13-db2a-4c0f-8603-28fa3b331ab6,,BuiltIn,Guest Configuration,Add system-assigned managed identity to enable Guest Configuration assignments on VMs with a user-assigned identity,"This policy adds a system-assigned managed identity to virtual machines hosted in Azure that are supported by Guest Configuration and have at least one user-assigned identity but do not have a system-assigned managed identity. A system-assigned managed identity is a prerequisite for all Guest Configuration assignments and must be added to machines before using any Guest Configuration policy definitions. For more information on Guest Configuration, visit https://aka.ms/gcpol.",PCI_DSS_v4.0_8.3.6,PCI-DSS: modify (Policy Fixed),"modify,audit",audit,audit,,
5b054a0d-39e2-4d53-bea3-9734cad2c69b,,BuiltIn,Guest Configuration,Audit Windows machines that allow re-use of the passwords after the specified number of unique passwords,"Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if Windows machines that allow re-use of the passwords after the specified number of unique passwords. Default value for unique passwords is 24",PCI_DSS_v4.0_8.3.6,PCI-DSS: AuditIfNotExists (Policy Default),"AuditIfNotExists,Disabled",AuditIfNotExists,AuditIfNotExists,,
4ceb8dc2-559c-478b-a15b-733fbf1e3738,,BuiltIn,Guest Configuration,Audit Windows machines that do not have the maximum password age set to specified number of days,"Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if Windows machines that do not have the maximum password age set to specified number of days. Default value for maximum password age is 70 days",PCI_DSS_v4.0_8.3.6,PCI-DSS: AuditIfNotExists (Policy Default),"AuditIfNotExists,Disabled",AuditIfNotExists,AuditIfNotExists,"{""IncludeArcMachines"":""false""}","{""IncludeArcMachines"":""false""}"
a2d0e922-65d0-40c4-8f87-ea6da2d307a2,,BuiltIn,Guest Configuration,Audit Windows machines that do not restrict the minimum password length to specified number of characters,"Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if Windows machines that do not restrict the minimum password length to specified number of characters. Default value for minimum password length is 14 characters",PCI_DSS_v4.0_8.3.6,PCI-DSS: AuditIfNotExists (Policy Default),"AuditIfNotExists,Disabled",AuditIfNotExists,AuditIfNotExists,,
385f5831-96d4-41db-9a3c-cd3af78aaae6,,BuiltIn,Guest Configuration,Deploy the Windows Guest Configuration extension to enable Guest Configuration assignments on Windows VMs,"This policy deploys the Windows Guest Configuration extension to Windows virtual machines hosted in Azure that are supported by Guest Configuration. The Windows Guest Configuration extension is a prerequisite for all Windows Guest Configuration assignments and must be deployed to machines before using any Windows Guest Configuration policy definition. For more information on Guest Configuration, visit https://aka.ms/gcpol.",PCI_DSS_v4.0_8.3.6,PCI-DSS: deployIfNotExists (Policy Fixed),deployIfNotExists,AuditIfNotExists,AuditIfNotExists,,
7f89b1eb-583c-429a-8828-af049802c1d9,,BuiltIn,Monitoring,Audit diagnostic setting for selected resource types,Audit diagnostic setting for selected resource types. Be sure to select only resource types which support diagnostics settings.,"PCI_DSS_v4.0_10.2.2,PCI_DSS_v4.0_10.3.3",PCI-DSS: AuditIfNotExists (Policy Fixed),AuditIfNotExists,AuditIfNotExists,AuditIfNotExists,"{""listOfResourceTypesWithDiagnosticLogsEnabled"":[""Microsoft.AnalysisServices/servers"",""Microsoft.ApiManagement/service"",""Microsoft.Network/applicationGateways"",""Microsoft.Automation/automationAccounts"",""Microsoft.ContainerInstance/containerGroups"",""Microsoft.ContainerRegistry/registries"",""Microsoft.ContainerService/managedClusters"",""Microsoft.Batch/batchAccounts"",""Microsoft.Cdn/profiles/endpoints"",""Microsoft.CognitiveServices/accounts"",""Microsoft.DocumentDB/databaseAccounts"",""Microsoft.DataFactory/factories"",""Microsoft.DataLakeAnalytics/accounts"",""Microsoft.DataLakeStore/accounts"",""Microsoft.EventGrid/eventSubscriptions"",""Microsoft.EventGrid/topics"",""Microsoft.EventHub/namespaces"",""Microsoft.Network/expressRouteCircuits"",""Microsoft.Network/azureFirewalls"",""Microsoft.HDInsight/clusters"",""Microsoft.Devices/IotHubs"",""Microsoft.KeyVault/vaults"",""Microsoft.Network/loadBalancers"",""Microsoft.Logic/integrationAccounts"",""Microsoft.Logic/workflows"",""Microsoft.DBforMySQL/servers"",""Microsoft.Network/networkInterfaces"",""Microsoft.Network/networkSecurityGroups"",""Microsoft.DBforPostgreSQL/servers"",""Microsoft.PowerBIDedicated/capacities"",""Microsoft.Network/publicIPAddresses"",""Microsoft.RecoveryServices/vaults"",""Microsoft.Cache/redis"",""Microsoft.Relay/namespaces"",""Microsoft.Search/searchServices"",""Microsoft.ServiceBus/namespaces"",""Microsoft.SignalRService/SignalR"",""Microsoft.Sql/servers/databases"",""Microsoft.Sql/servers/elasticPools"",""Microsoft.StreamAnalytics/streamingjobs"",""Microsoft.TimeSeriesInsights/environments"",""Microsoft.Network/trafficManagerProfiles"",""Microsoft.Compute/virtualMachines"",""Microsoft.Compute/virtualMachineScaleSets"",""Microsoft.Network/virtualNetworks"",""Microsoft.Network/virtualNetworkGateways""]}","{""listOfResourceTypesWithDiagnosticLogsEnabled"":[""Microsoft.AnalysisServices/servers"",""Microsoft.ApiManagement/service"",""Microsoft.Network/applicationGateways"",""Microsoft.Automation/automationAccounts"",""Microsoft.ContainerInstance/containerGroups"",""Microsoft.ContainerRegistry/registries"",""Microsoft.ContainerService/managedClusters"",""Microsoft.Batch/batchAccounts"",""Microsoft.Cdn/profiles/endpoints"",""Microsoft.CognitiveServices/accounts"",""Microsoft.DocumentDB/databaseAccounts"",""Microsoft.DataFactory/factories"",""Microsoft.DataLakeAnalytics/accounts"",""Microsoft.DataLakeStore/accounts"",""Microsoft.EventGrid/eventSubscriptions"",""Microsoft.EventGrid/topics"",""Microsoft.EventHub/namespaces"",""Microsoft.Network/expressRouteCircuits"",""Microsoft.Network/azureFirewalls"",""Microsoft.HDInsight/clusters"",""Microsoft.Devices/IotHubs"",""Microsoft.KeyVault/vaults"",""Microsoft.Network/loadBalancers"",""Microsoft.Logic/integrationAccounts"",""Microsoft.Logic/workflows"",""Microsoft.DBforMySQL/servers"",""Microsoft.Network/networkInterfaces"",""Microsoft.Network/networkSecurityGroups"",""Microsoft.DBforPostgreSQL/servers"",""Microsoft.PowerBIDedicated/capacities"",""Microsoft.Network/publicIPAddresses"",""Microsoft.RecoveryServices/vaults"",""Microsoft.Cache/redis"",""Microsoft.Relay/namespaces"",""Microsoft.Search/searchServices"",""Microsoft.ServiceBus/namespaces"",""Microsoft.SignalRService/SignalR"",""Microsoft.Sql/servers/databases"",""Microsoft.Sql/servers/elasticPools"",""Microsoft.StreamAnalytics/streamingjobs"",""Microsoft.TimeSeriesInsights/environments"",""Microsoft.Network/trafficManagerProfiles"",""Microsoft.Compute/virtualMachines"",""Microsoft.Compute/virtualMachineScaleSets"",""Microsoft.Network/virtualNetworks"",""Microsoft.Network/virtualNetworkGateways""]}"
1ecb79d7-1a06-9a3b-3be8-f434d04d1ec1,,BuiltIn,Regulatory Compliance,Adhere to retention periods defined,CMA_0004 - Adhere to retention periods defined,"PCI_DSS_v4.0_10.5.1,PCI_DSS_v4.0_3.2.1,PCI_DSS_v4.0_3.3.1,PCI_DSS_v4.0_3.3.1.1,PCI_DSS_v4.0_3.3.1.3,PCI_DSS_v4.0_5.3.4",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
7d7a8356-5c34-9a95-3118-1424cfaf192a,,BuiltIn,Regulatory Compliance,Adopt biometric authentication mechanisms,CMA_0005 - Adopt biometric authentication mechanisms,"PCI_DSS_v4.0_8.2.3,PCI_DSS_v4.0_8.3.1,PCI_DSS_v4.0_8.3.11,PCI_DSS_v4.0_8.4.1,PCI_DSS_v4.0_8.4.2,PCI_DSS_v4.0_8.4.3,PCI_DSS_v4.0_8.5.1",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
9622aaa9-5c49-40e2-5bf8-660b7cd23deb,,BuiltIn,Regulatory Compliance,Alert personnel of information spillage,CMA_0007 - Alert personnel of information spillage,"PCI_DSS_v4.0_11.5.1,PCI_DSS_v4.0_11.5.1.1",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
c6cf9f2c-5fd8-3f16-a1f1-f0b69c904928,,BuiltIn,Regulatory Compliance,Appoint a senior information security officer,CMA_C1733 - Appoint a senior information security officer,PCI_DSS_v4.0_12.1.4,PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
37b0045b-3887-367b-8b4d-b9a6fa911bb9,,BuiltIn,Regulatory Compliance,Assess information security events,CMA_0013 - Assess information security events,"PCI_DSS_v4.0_12.10.2,PCI_DSS_v4.0_12.10.6",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
0d04cb93-a0f1-2f4b-4b1b-a72a1b510d08,,BuiltIn,Regulatory Compliance,Assess risk in third party relationships,CMA_0014 - Assess risk in third party relationships,"PCI_DSS_v4.0_12.8.3,PCI_DSS_v4.0_12.8.4",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
c423e64d-995c-9f67-0403-b540f65ba42a,,BuiltIn,Regulatory Compliance,Assess Security Controls,CMA_C1145 - Assess Security Controls,PCI_DSS_v4.0_12.4.2,PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
f29b17a4-0df2-8a50-058a-8570f9979d28,,BuiltIn,Regulatory Compliance,Assign system identifiers,CMA_0018 - Assign system identifiers,"PCI_DSS_v4.0_8.2.1,PCI_DSS_v4.0_8.2.4",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
f26af0b1-65b6-689a-a03f-352ad2d00f98,,BuiltIn,Regulatory Compliance,Audit privileged functions,CMA_0019 - Audit privileged functions,"PCI_DSS_v4.0_10.2.1,PCI_DSS_v4.0_10.2.1.2,PCI_DSS_v4.0_10.2.1.3,PCI_DSS_v4.0_10.2.1.5,PCI_DSS_v4.0_10.2.1.6,PCI_DSS_v4.0_10.6.3",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
49c23d9b-02b0-0e42-4f94-e8cef1b8381b,,BuiltIn,Regulatory Compliance,Audit user account status,CMA_0020 - Audit user account status,"PCI_DSS_v4.0_10.2.1,PCI_DSS_v4.0_10.2.1.5,PCI_DSS_v4.0_7.2.4",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
6f1de470-79f3-1572-866e-db0771352fc8,,BuiltIn,Regulatory Compliance,Authenticate to cryptographic module,CMA_0021 - Authenticate to cryptographic module,"PCI_DSS_v4.0_3.3.2,PCI_DSS_v4.0_3.3.3",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
aeed863a-0f56-429f-945d-8bb66bd06841,,BuiltIn,Regulatory Compliance,Authorize access to security functions and information,CMA_0022 - Authorize access to security functions and information,"PCI_DSS_v4.0_10.6.3,PCI_DSS_v4.0_7.2.1,PCI_DSS_v4.0_7.2.2,PCI_DSS_v4.0_7.2.3,PCI_DSS_v4.0_7.2.6,PCI_DSS_v4.0_7.3.1,PCI_DSS_v4.0_7.3.2,PCI_DSS_v4.0_7.3.3",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
50e9324a-7410-0539-0662-2c1e775538b7,,BuiltIn,Regulatory Compliance,Authorize and manage access,CMA_0023 - Authorize and manage access,"PCI_DSS_v4.0_10.6.3,PCI_DSS_v4.0_7.2.1,PCI_DSS_v4.0_7.2.2,PCI_DSS_v4.0_7.2.3,PCI_DSS_v4.0_7.2.6,PCI_DSS_v4.0_7.3.1,PCI_DSS_v4.0_7.3.2,PCI_DSS_v4.0_7.3.3",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
dad8a2e9-6f27-4fc2-8933-7e99fe700c9c,,BuiltIn,Regulatory Compliance,Authorize remote access,CMA_0024 - Authorize remote access,"PCI_DSS_v4.0_1.5.1,PCI_DSS_v4.0_8.4.2,PCI_DSS_v4.0_8.4.3,PCI_DSS_v4.0_8.5.1",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
2cc9c165-46bd-9762-5739-d2aae5ba90a1,,BuiltIn,Regulatory Compliance,Automate account management,CMA_0026 - Automate account management,"PCI_DSS_v4.0_10.2.1.5,PCI_DSS_v4.0_7.3.1,PCI_DSS_v4.0_7.3.2",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
3d399cf3-8fc6-0efc-6ab0-1412f1198517,,BuiltIn,Regulatory Compliance,Block untrusted and unsigned processes that run from USB,CMA_0050 - Block untrusted and unsigned processes that run from USB,"PCI_DSS_v4.0_5.2.1,PCI_DSS_v4.0_5.2.2,PCI_DSS_v4.0_5.2.3,PCI_DSS_v4.0_5.3.1,PCI_DSS_v4.0_5.3.3,PCI_DSS_v4.0_5.4.1",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
ee4bbbbb-2e52-9adb-4e3a-e641f7ac68ab,,BuiltIn,Regulatory Compliance,Check for privacy and security compliance before establishing internal connections,CMA_0053 - Check for privacy and security compliance before establishing internal connections,PCI_DSS_v4.0_1.2.3,PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
c42f19c9-5d88-92da-0742-371a0ea03126,,BuiltIn,Regulatory Compliance,Clear personnel with access to classified information,CMA_0054 - Clear personnel with access to classified information,PCI_DSS_v4.0_12.7.1,PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
8eea8c14-4d93-63a3-0c82-000343ee5204,,BuiltIn,Regulatory Compliance,Conduct a full text analysis of logged privileged commands,CMA_0056 - Conduct a full text analysis of logged privileged commands,"PCI_DSS_v4.0_10.2.1.2,PCI_DSS_v4.0_10.2.1.3,PCI_DSS_v4.0_10.2.1.5,PCI_DSS_v4.0_10.2.1.6,PCI_DSS_v4.0_10.6.3",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
203101f5-99a3-1491-1b56-acccd9b66a9e,,BuiltIn,Regulatory Compliance,Conduct a security impact analysis,CMA_0057 - Conduct a security impact analysis,"PCI_DSS_v4.0_1.2.2,PCI_DSS_v4.0_5.3.5,PCI_DSS_v4.0_6.5.1,PCI_DSS_v4.0_6.5.3,PCI_DSS_v4.0_6.5.4,PCI_DSS_v4.0_6.5.6",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
677e1da4-00c3-287a-563d-f4a1cf9b99a0,,BuiltIn,Regulatory Compliance,Conduct Risk Assessment,CMA_C1543 - Conduct Risk Assessment,"PCI_DSS_v4.0_12.3.1,PCI_DSS_v4.0_12.3.2,PCI_DSS_v4.0_5.2.3.1",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
d7c1ecc3-2980-a079-1569-91aec8ac4a77,,BuiltIn,Regulatory Compliance,Conduct risk assessment and distribute its results,CMA_C1544 - Conduct risk assessment and distribute its results,"PCI_DSS_v4.0_12.3.1,PCI_DSS_v4.0_12.3.2",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
1dbd51c2-2bd1-5e26-75ba-ed075d8f0d68,,BuiltIn,Regulatory Compliance,Conduct risk assessment and document its results,CMA_C1542 - Conduct risk assessment and document its results,"PCI_DSS_v4.0_12.3.1,PCI_DSS_v4.0_12.3.2,PCI_DSS_v4.0_5.2.3.1",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
b53aa659-513e-032c-52e6-1ce0ba46582f,,BuiltIn,Regulatory Compliance,Configure actions for noncompliant devices,CMA_0062 - Configure actions for noncompliant devices,"PCI_DSS_v4.0_1.2.1,PCI_DSS_v4.0_2.2.1",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
2927e340-60e4-43ad-6b5f-7a1468232cc2,,BuiltIn,Regulatory Compliance,Configure detection whitelist,CMA_0068 - Configure detection whitelist,"PCI_DSS_v4.0_12.4.2,PCI_DSS_v4.0_12.4.2.1",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
26daf649-22d1-97e9-2a8a-01b182194d59,,BuiltIn,Regulatory Compliance,Configure workstations to check for digital certificates,CMA_0073 - Configure workstations to check for digital certificates,"PCI_DSS_v4.0_4.2.1,PCI_DSS_v4.0_4.2.2",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
59bedbdc-0ba9-39b9-66bb-1d1c192384e6,,BuiltIn,Regulatory Compliance,Control information flow,CMA_0079 - Control information flow,"PCI_DSS_v4.0_1.4.1,PCI_DSS_v4.0_1.4.2,PCI_DSS_v4.0_1.4.3,PCI_DSS_v4.0_1.4.4",PCI-DSS: Manual (Policy Default),"Manual,Disabled",Manual,Manual,,
